Te,ne,728/706,728/668
2.667042864326649e-01, 7.516748085768934e+19, 4.825550404364692e-02, 1.989275146418135e-01
2.667042864326649e-01, 8.433930068571646e+19, 4.921964791331869e-02, 1.885579058916804e-01
2.667042864326649e-01, 9.463025179229549e+19, 5.030243639561215e-02, 1.793364241196989e-01
2.667042864326649e-01, 1.061768888461980e+20, 5.149409558073593e-02, 1.711415341553635e-01
2.667042864326649e-01, 1.191324287058017e+20, 5.278387215352404e-02, 1.638622666800258e-01
2.667042864326649e-01, 1.336687835137238e+20, 5.416011041639893e-02, 1.573980404776295e-01
2.667042864326649e-01, 1.499788418664912e+20, 5.561037916465957e-02, 1.516582251739056e-01
2.667042864326649e-01, 1.682790283290380e+20, 5.712164751899338e-02, 1.465615377511840e-01
2.667042864326649e-01, 1.888121752571853e+20, 5.868050441682562e-02, 1.420353451408650e-01
2.992471312188867e-01, 2.118507450354571e+18, 9.213739484936309e-02, 1.164466657013265e+00
2.992471312188867e-01, 2.377004454874053e+18, 8.938433824462841e-02, 1.131586028253510e+00
2.992471312188867e-01, 2.667042864326648e+18, 8.658402634849451e-02, 1.096757930182318e+00
2.992471312188867e-01, 2.992471312188848e+18, 8.375554000306899e-02, 1.060055729614766e+00
2.992471312188867e-01, 3.357608036245132e+18, 8.091889361844985e-02, 1.021592544109123e+00
2.992471312188867e-01, 3.767298178979589e+18, 7.809456421083968e-02, 9.815233712539951e-01
2.992471312188867e-01, 4.226978079673322e+18, 7.530301046769351e-02, 9.400456475383695e-01
2.992471312188867e-01, 4.742747411323311e+18, 7.256420918388977e-02, 8.973979405772264e-01
2.992471312188867e-01, 5.321450119597585e+18, 6.989723448789392e-02, 8.538565753047179e-01
2.992471312188867e-01, 5.970765237835940e+18, 6.731990094507083e-02, 8.097301298424749e-01
2.992471312188867e-01, 6.699308783156532e+18, 6.484848546950402e-02, 7.653519016832243e-01
2.992471312188867e-01, 7.516748085768933e+18, 6.249753580781338e-02, 7.210706249952393e-01
2.992471312188867e-01, 8.433930068571646e+18, 6.027976607419169e-02, 6.772398955151444e-01
2.992471312188867e-01, 9.463025179229549e+18, 5.820603324542394e-02, 6.342069081132748e-01
2.992471312188867e-01, 1.061768888461980e+19, 5.628538331060159e-02, 5.923012117153453e-01
2.992471312188867e-01, 1.191324287058017e+19, 5.452515229264968e-02, 5.518242193280023e-01
2.992471312188867e-01, 1.336687835137238e+19, 5.293110571584257e-02, 5.130401680216583e-01
2.992471312188867e-01, 1.499788418664912e+19, 5.150760013140182e-02, 4.761691060861962e-01
2.992471312188867e-01, 1.682790283290379e+19, 5.025775169239829e-02, 4.413823047771432e-01
2.992471312188867e-01, 1.888121752571853e+19, 4.918359904882529e-02, 4.088002725961831e-01
2.992471312188867e-01, 2.118507450354571e+19, 4.828625055870356e-02, 3.784933197074587e-01
2.992471312188867e-01, 2.377004454874053e+19, 4.756600858640049e-02, 3.504844089761393e-01
2.992471312188867e-01, 2.667042864326648e+19, 4.702246620236260e-02, 3.247538641959541e-01
2.992471312188867e-01, 2.992471312188848e+19, 4.665457376334085e-02, 3.012454026675724e-01
2.992471312188867e-01, 3.357608036245132e+19, 4.646067462563803e-02, 2.798729245339544e-01
2.992471312188867e-01, 3.767298178979589e+19, 4.643851071573447e-02, 2.605275201046593e-01
2.992471312188867e-01, 4.226978079673322e+19, 4.658519999952131e-02, 2.430842348813692e-01
2.992471312188867e-01, 4.742747411323311e+19, 4.689718920374307e-02, 2.274082412106414e-01
2.992471312188867e-01, 5.321450119597585e+19, 4.737018655656031e-02, 2.133601857723398e-01
2.992471312188867e-01, 5.970765237835940e+19, 4.799908085297918e-02, 2.008005966074718e-01
2.992471312188867e-01, 6.699308783156532e+19, 4.877785474175817e-02, 1.895933302266094e-01
2.992471312188867e-01, 7.516748085768934e+19, 4.969950160501684e-02, 1.796081122788745e-01
2.992471312188867e-01, 8.433930068571646e+19, 5.075595651980599e-02, 1.707222730784420e-01
2.992471312188867e-01, 9.463025179229549e+19, 5.193805227891880e-02, 1.628218044204335e-01
2.992471312188867e-01, 1.061768888461980e+20, 5.323551104994280e-02, 1.558018711050525e-01
2.992471312188867e-01, 1.191324287058017e+20, 5.463698078302938e-02, 1.495669046659290e-01
2.992471312188867e-01, 1.336687835137238e+20, 5.613012287901403e-02, 1.440303929080025e-01
2.992471312188867e-01, 1.499788418664912e+20, 5.770175400209057e-02, 1.391144610753184e-01
2.992471312188867e-01, 1.682790283290380e+20, 5.933804054257372e-02, 1.347493217849714e-01
2.992471312188867e-01, 1.888121752571853e+20, 6.102473953993153e-02, 1.308726532363250e-01
3.357608036245121e-01, 2.118507450354571e+18, 9.402862244830922e-02, 1.044829503236146e+00
3.357608036245121e-01, 2.377004454874053e+18, 9.109962190553554e-02, 1.013753910982926e+00
3.357608036245121e-01, 2.667042864326648e+18, 8.813392195340616e-02, 9.810535779888887e-01
3.357608036245121e-01, 2.992471312188848e+18, 8.515196657648368e-02, 9.468170276429726e-01
3.357608036245121e-01, 3.357608036245132e+18, 8.217479325934300e-02, 9.111654989998538e-01
3.357608036245121e-01, 3.767298178979589e+18, 7.922353396602629e-02, 8.742540156020824e-01
3.357608036245121e-01, 4.226978079673322e+18, 7.631892871493692e-02, 8.362711784626560e-01
3.357608036245121e-01, 4.742747411323311e+18, 7.348087905705905e-02, 7.974374665251680e-01
3.357608036245121e-01, 5.321450119597585e+18, 7.072806470283528e-02, 7.580019062468478e-01
3.357608036245121e-01, 5.970765237835940e+18, 6.807764039808697e-02, 7.182370809223527e-01
3.357608036245121e-01, 6.699308783156532e+18, 6.554502273089811e-02, 6.784325829085306e-01
3.357608036245121e-01, 7.516748085768933e+18, 6.314376879498494e-02, 6.388871556980246e-01
3.357608036245121e-01, 8.433930068571646e+18, 6.088554144612916e-02, 5.998999112820479e-01
3.357608036245121e-01, 9.463025179229549e+18, 5.878015000566296e-02, 5.617611228216735e-01
3.357608036245121e-01, 1.061768888461980e+19, 5.683565116946362e-02, 5.247431655934843e-01
3.357608036245121e-01, 1.191324287058017e+19, 5.505849275791400e-02, 4.890921969403230e-01
3.357608036245121e-01, 1.336687835137238e+19, 5.345368269801621e-02, 4.550211220562443e-01
3.357608036245121e-01, 1.499788418664912e+19, 5.202496694666525e-02, 4.227042892598271e-01
3.357608036245121e-01, 1.682790283290379e+19, 5.077500248590502e-02, 3.922742074623548e-01
3.357608036245121e-01, 1.888121752571853e+19, 4.970551453754936e-02, 3.638203988775998e-01
3.357608036245121e-01, 2.118507450354571e+19, 4.881743027993002e-02, 3.373903151375747e-01
3.357608036245121e-01, 2.377004454874053e+19, 4.811098422935560e-02, 3.129920786935095e-01
3.357608036245121e-01, 2.667042864326648e+19, 4.758579284309690e-02, 2.905986836395829e-01
3.357608036245121e-01, 2.992471312188848e+19, 4.724089773699595e-02, 2.701532136284737e-01
3.357608036245121e-01, 3.357608036245132e+19, 4.707477825793636e-02, 2.515746131424412e-01
3.357608036245121e-01, 3.767298178979589e+19, 4.708533517778726e-02, 2.347635771203274e-01
3.357608036245121e-01, 4.226978079673322e+19, 4.726984819225351e-02, 2.196081911777038e-01
3.357608036245121e-01, 4.742747411323311e+19, 4.762491090912303e-02, 2.059890451161589e-01
3.357608036245121e-01, 5.321450119597585e+19, 4.814634822049844e-02, 1.937836404883697e-01
3.357608036245121e-01, 5.970765237835940e+19, 4.882912239435843e-02, 1.828700054449809e-01
3.357608036245121e-01, 6.699308783156532e+19, 4.966723579845237e-02, 1.731295077330712e-01
3.357608036245121e-01, 7.516748085768934e+19, 5.065363968507022e-02, 1.644489148065930e-01
3.357608036245121e-01, 8.433930068571646e+19, 5.178015964390238e-02, 1.567217877576179e-01
3.357608036245121e-01, 9.463025179229549e+19, 5.303744886646817e-02, 1.498493152608802e-01
3.357608036245121e-01, 1.061768888461980e+20, 5.441497997760827e-02, 1.437406986467774e-01
3.357608036245121e-01, 1.191324287058017e+20, 5.590108467726997e-02, 1.383131938151382e-01
3.357608036245121e-01, 1.336687835137238e+20, 5.748304773402929e-02, 1.334919039543274e-01
3.357608036245121e-01, 1.499788418664912e+20, 5.914725808825561e-02, 1.292094022137656e-01
3.357608036245121e-01, 1.682790283290380e+20, 6.087941525116640e-02, 1.254052480001891e-01
3.357608036245121e-01, 1.888121752571853e+20, 6.266478428491858e-02, 1.220254460009142e-01
3.767298178979602e-01, 2.118507450354571e+18, 9.506882860585085e-02, 9.424479210315546e-01
3.767298178979602e-01, 2.377004454874053e+18, 9.199713776041231e-02, 9.129684714415924e-01
