Te,ne,728/706,728/668
2.000000000000000e-01, 2.055923870931522e+18, 7.762396414860213e-02, 1.805047149317531e+00
2.000000000000000e-01, 2.113766345021471e+18, 7.717612146550408e-02, 1.795654640282665e+00
2.000000000000000e-01, 2.173236190560408e+18, 7.672402502104027e-02, 1.786069312677703e+00
2.000000000000000e-01, 2.234379192896828e+18, 7.626780593611385e-02, 1.776289689641009e+00
2.000000000000000e-01, 2.297242425528928e+18, 7.580760138180971e-02, 1.766314454803818e+00
2.000000000000000e-01, 2.361874286346218e+18, 7.534355449729552e-02, 1.756142461478278e+00
2.000000000000000e-01, 2.428324534890606e+18, 7.487581429322458e-02, 1.745772741771505e+00
2.000000000000000e-01, 2.496644330665804e+18, 7.440453554061710e-02, 1.735204515589341e+00
2.000000000000000e-01, 2.566886272524754e+18, 7.392987864525941e-02, 1.724437199492406e+00
2.000000000000000e-01, 2.639104439164887e+18, 7.345200950772671e-02, 1.713470415366058e+00
2.000000000000000e-01, 2.713354430763019e+18, 7.297109936918844e-02, 1.702303998864813e+00
2.000000000000000e-01, 2.789693411781414e+18, 7.248732464322956e-02, 1.690938007591238e+00
2.000000000000000e-01, 2.868180154978163e+18, 7.200086673397708e-02, 1.679372728968661e+00
2.000000000000000e-01, 2.948875086655989e+18, 7.151191184088782e-02, 1.667608687766710e+00
2.000000000000000e-01, 3.031840333183898e+18, 7.102065075061921e-02, 1.655646653238566e+00
2.000000000000000e-01, 3.117139768827687e+18, 7.052727861646362e-02, 1.643487645828868e+00
2.000000000000000e-01, 3.204839064926366e+18, 7.003199472588938e-02, 1.631132943411421e+00
2.000000000000000e-01, 3.295005740451917e+18, 6.953500225679246e-02, 1.618584087016427e+00
2.000000000000000e-01, 3.387709213991513e+18, 6.903650802311682e-02, 1.605842886007747e+00
2.000000000000000e-01, 3.483020857192485e+18, 6.853672221055754e-02, 1.592911422671530e+00
2.000000000000000e-01, 3.581014049710691e+18, 6.803585810311073e-02, 1.579792056178945e+00
2.000000000000000e-01, 3.681764235704827e+18, 6.753413180128374e-02, 1.566487425887196e+00
2.000000000000000e-01, 3.785348981920439e+18, 6.703176193281740e-02, 1.553000453944631e+00
2.000000000000000e-01, 3.891848037407842e+18, 6.652896935681811e-02, 1.539334347167959e+00
2.000000000000000e-01, 4.001343394920174e+18, 6.602597686222537e-02, 1.525492598161634e+00
2.000000000000000e-01, 4.113919354039157e+18, 6.552300886157321e-02, 1.511478985652035e+00
2.000000000000000e-01, 4.229662586076408e+18, 6.502029108102844e-02, 1.497297574011906e+00
2.000000000000000e-01, 4.348662200801200e+18, 6.451805024770246e-02, 1.482952711953225e+00
2.000000000000000e-01, 4.471009815045247e+18, 6.401651377525423e-02, 1.468449030370218e+00
2.000000000000000e-01, 4.596799623237653e+18, 6.351590944880305e-02, 1.453791439317311e+00
2.000000000000000e-01, 4.726128469924637e+18, 6.301646511017168e-02, 1.438985124110578e+00
2.000000000000000e-01, 4.859095924329262e+18, 6.251840834448022e-02, 1.424035540545028e+00
2.000000000000000e-01, 4.995804357008847e+18, 6.202196616909850e-02, 1.408948409224017e+00
2.000000000000000e-01, 5.136359018669451e+18, 6.152736472594655e-02, 1.393729709001027e+00
2.000000000000000e-01, 5.280868121197427e+18, 6.103482897811734e-02, 1.378385669538497e+00
2.000000000000000e-01, 5.429442920970727e+18, 6.054458241176423e-02, 1.362922762992562e+00
2.000000000000000e-01, 5.582197804514550e+18, 6.005684674416586e-02, 1.347347694836885e+00
2.000000000000000e-01, 5.739250376566452e+18, 5.957184163884490e-02, 1.331667393843393e+00
2.000000000000000e-01, 5.900721550619149e+18, 5.908978442857628e-02, 1.315889001242036e+00
2.000000000000000e-01, 6.066735642011087e+18, 5.861088984707156e-02, 1.300019859086091e+00
2.000000000000000e-01, 6.237420463635686e+18, 5.813536977008287e-02, 1.284067497854114e+00
2.000000000000000e-01, 6.412907424343282e+18, 5.766343296661194e-02, 1.268039623323836e+00
2.000000000000000e-01, 6.593331630112079e+18, 5.719528486085524e-02, 1.251944102757466e+00
2.000000000000000e-01, 6.778831988064731e+18, 5.673112730546128e-02, 1.235788950442182e+00
2.000000000000000e-01, 6.969551313412170e+18, 5.627115836660901e-02, 1.219582312633230e+00
2.000000000000000e-01, 7.165636439405710e+18, 5.581557212136143e-02, 1.203332451951017e+00
2.000000000000000e-01, 7.367238330382600e+18, 5.536455846768024e-02, 1.187047731286934e+00
2.000000000000000e-01, 7.574512197992570e+18, 5.491830294742316e-02, 1.170736597275849e+00
2.000000000000000e-01, 7.787617620693853e+18, 5.447698658258604e-02, 1.154407563396329e+00
2.000000000000000e-01, 8.006718666611142e+18, 5.404078572498138e-02, 1.138069192762074e+00
2.000000000000000e-01, 8.231984019850670e+18, 5.360987191948384e-02, 1.121730080670401e+00
2.000000000000000e-01, 8.463587110368554e+18, 5.318441178091361e-02, 1.105398836975599e+00
2.000000000000000e-01, 8.701706247492881e+18, 5.276456688456174e-02, 1.089084068356403e+00
2.000000000000000e-01, 8.946524757203022e+18, 5.235049367030463e-02, 1.072794360547938e+00
2.000000000000000e-01, 9.198231123270599e+18, 5.194234336019978e-02, 1.056538260609349e+00
2.000000000000000e-01, 9.457019132371382e+18, 5.154026188939470e-02, 1.040324259298372e+00
2.000000000000000e-01, 9.723088023280507e+18, 5.114438985013249e-02, 1.024160773624083e+00
2.000000000000000e-01, 9.996642640264573e+18, 5.075486244858714e-02, 1.008056129648373e+00
2.000000000000000e-01, 1.027789359078931e+19, 5.037180947421412e-02, 9.920185456056698e-01
2.000000000000000e-01, 1.056705740766513e+19, 4.999535528125978e-02, 9.760561154087574e-01
2.000000000000000e-01, 1.086435671575329e+19, 4.962561878203372e-02, 9.601767926068916e-01
2.000000000000000e-01, 1.117002040336357e+19, 4.926271345150985e-02, 9.443883748596231e-01
2.000000000000000e-01, 1.148428379847323e+19, 4.890674734279365e-02, 9.286984889872986e-01
2.000000000000000e-01, 1.180738884990388e+19, 4.855782311295965e-02, 9.131145766558237e-01
2.000000000000000e-01, 1.213958431359635e+19, 4.821603805873946e-02, 8.976438807496917e-01
2.000000000000000e-01, 1.248112594412570e+19, 4.788148416152169e-02, 8.822934324835221e-01
2.000000000000000e-01, 1.283227669160419e+19, 4.755424814110244e-02, 8.670700392979871e-01
2.000000000000000e-01, 1.319330690412508e+19, 4.723441151761312e-02, 8.519802735815207e-01
2.000000000000000e-01, 1.356449453590109e+19, 4.692205068104201e-02, 8.370304622545284e-01
2.000000000000000e-01, 1.394612536125875e+19, 4.661723696775509e-02, 8.222266772477883e-01
2.000000000000000e-01, 1.433849319465440e+19, 4.632003674341852e-02, 8.075747269015517e-01
2.000000000000000e-01, 1.474190011687919e+19, 4.603051149172521e-02, 7.930801483067863e-01
2.000000000000000e-01, 1.515665670762826e+19, 4.574871790832390e-02, 7.787482006044408e-01
2.000000000000000e-01, 1.558308228461425e+19, 4.547470799935815e-02, 7.645838592533777e-01
2.000000000000000e-01, 1.602150514940701e+19, 4.520852918402529e-02, 7.505918112722210e-01
2.000000000000000e-01, 1.647226284018993e+19, 4.495022440057561e-02, 7.367764514550730e-01
2.000000000000000e-01, 1.693570239162858e+19, 4.469983221518030e-02, 7.231418795556993e-01
2.000000000000000e-01, 1.741218060204953e+19, 4.445738693311197e-02, 7.096918984299057e-01
2.000000000000000e-01, 1.790206430813599e+19, 4.422291871169402e-02, 6.964300131207390e-01
2.000000000000000e-01, 1.840573066735327e+19, 4.399645367448937e-02, 6.833594308664525e-01
2.000000000000000e-01, 1.892356744831875e+19, 4.377801402621955e-02, 6.704830620068659e-01
2.000000000000000e-01, 1.945597332934140e+19, 4.356761816792003e-02, 6.578035217593624e-01
2.000000000000000e-01, 2.000335820536193e+19, 4.336528081185882e-02, 6.453231328320150e-01
2.000000000000000e-01, 2.056614350352639e+19, 4.317101309576458e-02, 6.330439288378037e-01
2.000000000000000e-01, 2.114476250764054e+19, 4.298482269593158e-02, 6.209676584705633e-01
2.000000000000000e-01, 2.173966069175109e+19, 4.280671393879058e-02, 6.090957904006370e-01
2.000000000000000e-01, 2.235129606311197e+19, 4.263668791055688e-02, 5.974295188456423e-01
2.000000000000000e-01, 2.298013951480143e+19, 4.247474256458703e-02, 5.859697697697174e-01
